trade_id,entry_date,exit_date,symbol,company_name,sector,entry_price,exit_price,shares,capital_allocated,gross_pnl_inr,net_pnl_inr,return_pct,is_win,total_charges_inr,mfe_pct,mae_pct,highest_price_reached,lowest_price_reached,holding_period,sl_or_tp_hit,trade_type,actual_rank,pred_rank,selection_reason
602,2026-03-18,2026-03-18,AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Mid-Cap Equities,3055.9997021484373,3062.1117015527343,654,1998623.805205078,3997.2476104102097,3244.4845368235324,0.16233592977196712,True,752.7630735866775,1.901191137779456,-0.8736798403986059,3114.10009765625,3029.300048828125,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,92,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+1.19%), RSI-14 (55.7), clean gap (+0.97%) holding above prev_close. PIT-Score: 0.82 (Rank #1)."
603,2026-03-18,2026-03-18,BHEL,Bharat Heavy Electricals Ltd.,Mid-Cap Equities,258.015,259.6296939086914,7751,1999874.265,12515.49248626735,11759.850542467197,0.588029495067641,True,755.6419438001544,1.3506966649225873,-0.6453089535431511,261.5,256.3500061035156,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,79,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (-1.01%), RSI-14 (47.0), clean gap (+0.45%) holding above prev_close. PIT-Score: 0.74 (Rank #2)."
605,2026-03-20,2026-03-20,POLICYBZR,PB Fintech Ltd.,Mid-Cap Equities,1498.992,1501.989984,1334,1999655.328,3999.3106560001615,3246.183429644081,0.1623371480169447,True,753.1272263560803,1.8217608118072037,-0.5198192404045493,1526.300048828125,1491.199951171875,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,63,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.53%), RSI-14 (47.5), clean gap (+0.49%) holding above prev_close. PIT-Score: 1.05 (Rank #2)."
604,2026-03-20,2026-03-23,NLCINDIA,NLC India Ltd.,Mid-Cap Equities,262.524,262.52294990400003,7618,1999907.832,-7.999631327809766,-4468.620502945902,-0.22344132221718818,False,4460.620871618093,4.29522169133822,-4.618246752112426,273.79998779296875,250.39999389648438,2 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,20,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.44%), RSI-14 (51.3), clean gap (+1.30%) holding above prev_close. PIT-Score: 1.33 (Rank #1)."
606,2026-03-25,2026-03-25,BHEL,Bharat Heavy Electricals Ltd.,Mid-Cap Equities,260.46991223144533,261.5258878173828,7678,1999887.9861130372,8107.7805488279555,7353.395370751075,0.367690361750863,True,754.3851780768811,2.430252119061917,-0.42995604303601737,266.79998779296875,259.3500061035156,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,104,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.13%), RSI-14 (49.3), clean gap (+0.68%) holding above prev_close. PIT-Score: 2.67 (Rank #1)."
608,2026-03-25,2026-03-25,THERMAX,Thermax Ltd.,Mid-Cap Equities,3211.911,3242.701551269531,622,1997808.642,19151.722889648285,18394.909517122287,0.9207543270364074,True,756.8133725259964,2.798615803119232,-0.2618690243907773,3301.800048828125,3203.5,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,93,Rank #3,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.81%), RSI-14 (54.2), clean gap (+0.44%) holding above prev_close. PIT-Score: 0.81 (Rank #3)."
607,2026-03-25,2026-03-27,BSE,BSE Ltd.,Mid-Cap Equities,2845.68,2845.6686172799996,702,1997667.3599999999,-7.990669440245256,-4463.632208867534,-0.22344221556823826,False,4455.641539427289,1.8877703165412194,-2.6524433115503094,2899.39990234375,2770.199951171875,2 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,44,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.24%), RSI-14 (49.1), clean gap (+1.22%) holding above prev_close. PIT-Score: 1.98 (Rank #2)."
609,2026-04-01,2026-04-02,GICRE,General Insurance Corporation of India,Mid-Cap Equities,366.33120611572264,366.32974079089814,5459,1999802.05418573,-7.999208217021078,-4468.384994158672,-0.22344136434933748,False,4460.385785941651,4.55019763700168,-0.8683978230981854,383.0,363.1499938964844,2 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,29,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.84%), RSI-14 (45.6), clean gap (+0.73%) holding above prev_close. PIT-Score: 1.05 (Rank #1)."
611,2026-04-10,2026-04-10,IDEA,Vodafone Idea Ltd.,Mid-Cap Equities,9.198360305786133,9.2315,217430,1999999.481287079,7205.563712921226,6451.397476063338,0.3225699574637694,True,754.1662368578881,2.083415208426564,-0.3083183148886696,9.390000343322754,9.170000076293945,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,84,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.29%), RSI-14 (45.6), clean gap (+0.66%) holding above prev_close. PIT-Score: 1.55 (Rank #1)."
612,2026-04-10,2026-04-13,PIIND,PI Industries Ltd.,Mid-Cap Equities,2898.4853510742187,2898.473757132814,690,1999954.892241211,-7.999819569056854,-4468.725280119288,-0.2234413034741747,False,4460.725460550231,2.284455226696809,-1.672782339791689,2964.699951171875,2850.0,2 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,42,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.24%), RSI-14 (47.3), clean gap (+0.42%) holding above prev_close. PIT-Score: 1.52 (Rank #2)."
614,2026-04-15,2026-04-15,AWL,AWL Agri Business Ltd.,Mid-Cap Equities,182.1936618347168,182.55804915838624,10977,1999939.8259596864,3999.87965191924,3246.6519908268465,0.16233748379248938,True,753.2276610923938,1.1890308114011257,-0.4356177543390255,184.36000061035156,181.39999389648438,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,103,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.22%), RSI-14 (46.2), clean gap (+1.17%) holding above prev_close. PIT-Score: 2.04 (Rank #1)."
616,2026-04-15,2026-04-15,POLICYBZR,PB Fintech Ltd.,Mid-Cap Equities,1475.7456489257813,1478.697140223633,1355,1999635.3542944337,3999.2707085888833,3246.150533439265,0.16233712443960369,True,753.1201751496184,1.5486629878795308,-0.7959128278190194,1498.5999755859375,1464.0,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,90,Rank #3,"Point-in-Time Execution: Coiling proximity to 20-DMA (-1.16%), RSI-14 (45.8), clean gap (+1.36%) holding above prev_close. PIT-Score: 1.11 (Rank #3)."
610,2026-04-09,2026-04-16,GVT&D,GE Vernova T&D India Ltd.,Mid-Cap Equities,3769.524,4087.808,530,1997847.72,168690.52000000025,164059.66783621328,8.21182046028079,True,4630.85216378696,11.762119098956529,-0.46488628272428795,4212.89990234375,3752.0,5 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,3,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.57%), RSI-14 (52.1), clean gap (+0.99%) holding above prev_close. PIT-Score: 1.21 (Rank #1)."
613,2026-04-10,2026-04-17,NIACL,The New India Assurance Company Ltd.,Mid-Cap Equities,131.27201449584962,167.664,15235,1999929.140844269,554431.8991557311,549396.7058876689,27.47080857353483,True,5035.193268062174,37.42456424494653,-0.20721438373158962,180.39999389648438,131.0,5 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,1,Rank #3,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.62%), RSI-14 (47.1), clean gap (+0.82%) holding above prev_close. PIT-Score: 1.08 (Rank #3)."
615,2026-04-15,2026-04-21,APLAPOLLO,APL Apollo Tubes Ltd.,Mid-Cap Equities,2012.016,2102.3868974609377,994,1999943.904,89828.67207617196,85274.87994128856,4.263863589910398,True,4553.7921348834125,8.001129215672236,-1.3079443119798786,2173.0,1985.699951171875,5 Days (Swing),TP REACHED (Peak > +5%),SWING,39,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.80%), RSI-14 (47.5), clean gap (+1.42%) holding above prev_close. PIT-Score: 1.19 (Rank #2)."
617,2026-04-16,2026-04-21,POLICYBZR,PB Fintech Ltd.,Mid-Cap Equities,1492.98,1578.9357756347656,1339,1999100.22,115094.78357495111,110516.68508560694,5.5283213907908495,True,4578.098489344177,9.311578185910058,-0.7220491117178407,1632.0,1482.199951171875,4 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,4,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.65%), RSI-14 (50.0), clean gap (+0.63%) holding above prev_close. PIT-Score: 1.00 (Rank #1)."
618,2026-04-27,2026-04-27,WAAREEENER,Waaree Energies Ltd.,Mid-Cap Equities,3340.668,3351.5834487304687,598,1997719.4640000002,6527.438340820139,5774.269797727871,0.28904307645709915,True,753.1685430922678,0.8780279872169243,-0.4690079948082276,3370.0,3325.0,1 Day (Intraday),INTRADAY SQUARE OFF,INTRADAY,61,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+1.39%), RSI-14 (57.0), clean gap (+0.86%) holding above prev_close. PIT-Score: 0.92 (Rank #1)."
619,2026-05-04,2026-05-04,JSL,Jindal Stainless Ltd.,Mid-Cap Equities,775.548,777.099096,2578,1999362.744,3998.7254880000837,3245.7015509502676,0.16233680259825164,True,753.0239370498163,1.77964169670188,-0.4574829668827721,789.3499755859375,772.0,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,43,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.01%), RSI-14 (51.6), clean gap (+0.86%) holding above prev_close. PIT-Score: 15.47 (Rank #1)."
620,2026-05-04,2026-05-04,DABUR,Dabur India Ltd.,Mid-Cap Equities,445.89,446.78177999999997,4485,1999816.65,3999.6332999998704,3246.4491230331446,0.16233733842715756,True,753.1841769667257,1.1235941367791134,-0.6481419184103672,450.8999938964844,443.0,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,62,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.66%), RSI-14 (47.1), clean gap (+0.79%) holding above prev_close. PIT-Score: 0.96 (Rank #2)."
