label,trades,unique_dates,win_rate,profit_factor,sharpe,max_dd,net_pnl,costs,ho_trades,ho_win_rate,ho_pf,r1_traded,top5_traded
1. Baseline (Current Strategy),681,378,74.15565345080763,16.536940114104127,4.289056877236832,-0.2503129079321172,18418275.232852943,1315939.514462124,117,80.34188034188034,20.545187248163643,21,85
2. Remove Gap-Fill Rejection (Allow all gaps),2121,642,28.38283828382838,0.7211545742443906,-1.4736043233470428,-40.82716413224661,-3849412.1281514177,1108563.718730422,330,34.24242424242424,0.9319503732686657,24,119
3. Widen Gap Range (0.0% to 3.0%),1034,484,73.11411992263056,11.174999854332661,5.140771669931484,-0.44388380033069236,27966973.283138193,2159957.7011624053,181,74.58563535911603,9.457635975336204,30,129
4. Remove Benchmark Gate (Trade in all markets),790,469,75.0632911392405,16.821109780884562,4.663009621241979,-0.2277586305931209,21188532.996179827,1551479.0433852745,136,80.88235294117648,22.49608037390888,29,116
5. Relax Benchmark Gate (Allow midcap_ret >= -0.30%),681,378,74.15565345080763,16.536940114104127,4.289056877236832,-0.2503129079321172,18418275.232852943,1315939.514462124,117,80.34188034188034,20.545187248163643,21,85
6. Relax Volume Thrust (vol_prev_ratio >= 1.0x),1078,471,72.72727272727273,13.702896732218635,5.195156904342186,-0.25922647309433733,27250404.370987095,2179887.7919146246,184,80.43478260869566,21.008702611718096,27,118
"7. Relax Coiling (dist_sma20 <= 3.0%, RSI 35-70)",1356,522,74.70501474926253,15.75517109904119,5.858096185321499,-0.24950135864113915,37899042.67129108,2887049.1125455936,216,76.85185185185185,20.315590747361636,43,172
8. Increase Max Positions (5 -> 10),682,378,74.19354838709677,16.544900984792736,4.292026422840513,-0.250255075949721,18432474.093794174,1316799.2136285235,117,80.34188034188034,20.545187248163643,21,85
"9. Combined Moderate Relaxation (Gap 0.2-2.5%, Coiling <=2.5%, Bmark >=-0.2%)",1469,539,73.58747447243023,11.184757660421644,5.821042908869056,-0.4616500020042655,38979724.56447041,3093743.7726286277,232,80.60344827586206,15.427523435256857,39,178
