date,symbol,company,sector,prev_close,open,high,low,close,daily_return,intraday_return,gap_pct,volume,vol_5d,vol_20d,vol_50d,vol_ratio,rng_pos,rsi_prev,dist_sma20,dist_52w_high,midcap_ret,alpha_vs_midcap,rank,is_top5
2021-09-20,GMRAIRPORT,GMR Airports Ltd.,Services,28.424293518066406,28.244108200073242,32.613609313964844,27.793643951416016,30.67661476135254,7.923930428928913,8.612438898931101,-0.006339130922590521,99301041.0,18150950.6,11720465.2,13605667.333333334,8.47244877276642,0.5981308982438605,59.78760289904914,5.536041756997389,-4.682777560055441,-1.8323757970026167,9.75630622593153,1,True
2021-09-20,TATAELXSI,Tata Elxsi Ltd.,Information Technology,5490.64990234375,5470.0,5955.0,5352.2998046875,5831.7001953125,6.211474033759985,6.612435014853747,-0.0037609213319055985,730123.0,311305.8,199680.6,202664.87878787878,3.65645435759079,0.7954209963064803,86.72577960410636,11.709490834062079,-1.9526803149414855,-1.8323757970026167,8.043849830762602,2,True
2021-09-20,TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,1463.0999755859375,1470.0,1548.699951171875,1463.0,1513.699951171875,3.458408613920821,2.972785794005102,0.004716030708222246,200925.0,193460.6,162739.1,166253.54545454544,1.2346449009412326,0.5915983601740411,80.7229537883399,8.873351427514452,-4.147015708477452,-1.8323757970026167,5.290784410923438,3,True
2021-09-20,KEI,KEI Industries Ltd.,Capital Goods,844.1500244140625,849.0,894.2000122070312,841.25,866.5499877929688,2.653552417350744,2.067136371374411,0.005745395303760066,2113627.0,1237795.8,768673.2,700223.2121212122,2.7497081984870166,0.4778089042971033,64.50807363435887,9.170506137429767,-4.723473537099635,-1.8323757970026167,4.485928214353361,4,True
2021-09-20,JSWENERGY,JSW Energy Ltd.,Power,323.45001220703125,318.3999938964844,339.6000061035156,315.95001220703125,330.79998779296875,2.272368313046465,3.894470519530148,-0.015612979192947133,1603798.0,2515064.2,1864886.85,2058563.121212121,0.8599974845654255,0.6279060799351369,81.53446202385611,22.631587910769444,-1.0553630294627536,-1.8323757970026167,4.104744110049081,5,True
2021-09-21,OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,130.10000610351562,132.60000610351562,140.56666564941406,132.1999969482422,139.26666259765625,7.04585400776005,5.0276441834672525,0.019215986800268443,5146116.0,3094007.6,2598987.8,2012018.3529411764,1.980046231843805,0.8446210860247385,60.142796439362066,5.161060738471155,-9.23255059592162,0.43090595416196986,6.61494805359808,1,True
2021-09-21,PRESTIGE,Prestige Estates Projects Ltd.,Realty,395.8999938964844,396.3999938964844,427.79998779296875,394.0,418.8500061035156,5.796921586473166,5.66347440784619,0.001262945207649421,5774056.0,1110871.0,2350382.1,1979369.4705882352,2.4566456662504126,0.7352075249411045,52.65760135399056,-0.07067617824434899,-21.11974518387119,0.43090595416196986,5.366015632311196,2,True
2021-09-21,SAIL,Steel Authority of India Ltd.,Metals & Mining,105.80000305175781,106.0,111.69999694824219,105.30000305175781,111.19999694824219,5.103963838113194,4.905657498341686,0.0018903302691243603,65576034.0,39089334.6,40506285.45,46856534.61764706,1.6189100844841446,0.921874781451051,23.418403173320684,-11.083094020985545,-26.68052593137194,0.43090595416196986,4.673057883951224,3,True
2021-09-21,GODREJPROP,Godrej Properties Ltd.,Realty,1644.949951171875,1655.0,1758.5999755859375,1651.0,1723.6500244140625,4.784344544107312,4.148037728946374,0.006109638059787331,4137923.0,633768.6,713170.55,816503.5,5.802150691716305,0.6751862474248652,65.3499121289357,5.610864663461583,-3.1157066374282767,0.43090595416196986,4.353438589945342,4,True
2021-09-21,UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,354.4750061035156,355.0,372.0,352.0,370.75,4.5912951876024986,4.43661971830986,0.0014810463007117166,1113594.0,939754.0,622547.0,860580.7058823529,1.7887709682934962,0.9374999531250023,61.199952863959616,-0.03842072160955851,-14.994003296533414,0.43090595416196986,4.160389233440529,5,True
2021-09-22,GODREJPROP,Godrej Properties Ltd.,Realty,1723.6500244140625,1738.949951171875,1973.0,1726.699951171875,1951.0999755859375,13.195831401400312,12.199892485180209,0.008876469434689073,5971823.0,1348037.2,859526.9,911401.2,6.947802331716496,0.9110839586539063,75.03970664323616,9.790296401277807,-1.9873735720004486,1.1041291891533278,12.091702212246984,1,True
2021-09-22,LINDEINDIA,Linde India Ltd.,Chemicals,2610.800048828125,2616.0,2855.0,2600.0,2832.0,8.472496822235087,8.256880733944955,0.001991707934205468,806936.0,386561.8,760297.65,531843.5142857142,1.0613422256387859,0.909803918000769,65.63738149526161,4.165753674719902,-5.65021263671679,1.1041291891533278,7.368367633081759,2,True
2021-09-22,PHOENIXLTD,Phoenix Mills Ltd.,Realty,427.32501220703125,429.4750061035156,459.5,426.5249938964844,454.6000061035156,6.382728161783831,5.850165817086959,0.005031284935511198,2215684.0,889869.2,483048.8,488338.6857142857,4.586874038389937,0.8514027644906266,47.74742990853609,-0.9684126445305171,-7.655318793390721,1.1041291891533278,5.278598972630503,3,True
2021-09-22,BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,2535.39990234375,2543.0,2710.0,2529.300048828125,2692.199951171875,6.184430656606771,5.867084198658081,0.002997593259045404,1389658.0,287831.6,373829.15,431461.9428571428,3.7173612598062045,0.9014938874405775,70.8198417031201,5.37263351922623,-0.9299800434869107,1.1041291891533278,5.080301467453443,4,True
