date,symbol,company,sector,prev_close,open,high,low,close,daily_return,volume,vol_20d_avg,vol_ratio,rank
2026-09-01,JSL,Jindal Stainless Ltd.,Metals & Mining,702.1500244140625,700.5,738.6500244140625,700.5,734.0,4.536064157017726,1070564.0,398575.25,2.685977114735549,1
2026-09-01,PERSISTENT,Persistent Systems Ltd.,Information Technology,5594.5,5621.5,5852.5,5603.0,5800.0,3.673250513897578,592977.0,450865.4,1.3151973959412275,2
2026-09-01,ANTHEM,Anthem Biosciences Ltd.,Healthcare,893.0499877929688,893.2000122070312,939.0,893.2000122070312,924.5,3.52164074093489,1326412.0,738326.4,1.7965116783037962,3
2026-09-01,NAUKRI,Info Edge (India) Ltd.,Consumer Services,1313.0,1335.0,1371.699951171875,1327.199951171875,1356.0,3.2749428789032753,1564601.0,1969988.05,0.7942185233052556,4
2026-09-01,MPHASIS,MphasiS Ltd.,Information Technology,2427.39990234375,2422.699951171875,2523.0,2407.10009765625,2505.5,3.217438444355266,932222.0,407708.2,2.2864931340600947,5
2026-09-02,NIACL,The New India Assurance Company Ltd.,Financial Services,185.77000427246094,185.4499969482422,201.39999389648438,182.41000366210938,199.11000061035156,7.18092050981784,24334669.0,4168400.2,5.837891716826998,1
2026-09-02,JSWENERGY,JSW Energy Ltd.,Power,518.0,515.0,540.75,511.3999938964844,539.7999877929688,4.208491851924469,3635853.0,1792659.05,2.0281899115171957,2
2026-09-02,IDEA,Vodafone Idea Ltd.,Telecommunication,14.0600004196167,14.119999885559082,14.720000267028809,13.930000305175781,14.529999732971191,3.342811517265269,527024719.0,418734592.2,1.2586128034730826,3
2026-09-02,KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,570.6715087890625,566.2893558576199,593.0302819845409,554.238550942631,587.6024169921875,2.9668395815048787,21212135.0,11935249.35,1.7772678540645654,4
2026-09-02,TORNTPOWER,Torrent Power Ltd.,Power,1219.300048828125,1219.300048828125,1267.699951171875,1217.199951171875,1248.9000244140625,2.4276203067806135,1313132.0,263379.55,4.985702192899942,5
2026-09-03,APARINDS,Apar Industries Ltd.,Capital Goods,16754.830078125,16882.38785936,17710.512781804253,16881.39131914045,17642.748046875,5.299474626777982,208669.0,161991.85,1.2881450517418005,1
2026-09-03,MAHABANK,Bank of Maharashtra,Financial Services,82.4000015258789,83.1500015258789,87.3499984741211,82.81999969482422,86.31999969482422,4.757279243149262,48646685.0,14189900.65,3.428261141490092,2
2026-09-03,BSE,BSE Ltd.,Financial Services,3168.0,3199.89990234375,3316.5,3198.89990234375,3306.10009765625,4.35922025430082,6036100.0,4723450.65,1.2779005111443262,3
2026-09-03,SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,635.1500244140625,641.0,667.4000244140625,641.0,661.0,4.069900746644003,3785886.0,3231240.65,1.1716508951445632,4
2026-09-03,TORNTPOWER,Torrent Power Ltd.,Power,1248.9000244140625,1283.5,1327.4000244140625,1279.199951171875,1289.300048828125,3.2348485566742373,2762103.0,315099.25,8.765819023688568,5
2026-09-04,NIACL,The New India Assurance Company Ltd.,Financial Services,195.3300018310547,196.49000549316406,234.38999938964844,196.49000549316406,229.91000366210938,17.703374549171258,66928665.0,3993955.8,16.757487651716126,1
2026-09-04,GICRE,General Insurance Corporation of India,Financial Services,342.8999938964844,343.6499938964844,361.29998779296875,341.6000061035156,358.45001220703125,4.534855231068088,4931565.0,898478.1,5.488798224464236,2
